"id","text","category","length","word_count"
"1","I need quiet time to recharge after social activities","social","53","9"
"2","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"3","I find comfort in familiar places and activities in school","general","58","10"
"4","I have a few topics that I find endlessly interesting","interests","53","10"
"5","Processing emotions takes time and energy for me in meetings","daily_life","60","10"
"6","I love learning detailed information about my interests with friends","interests","68","10"
"7","Group conversations are harder to follow than one-on-one","social","56","8"
"8","Learning about my special interests brings me joy","interests","49","8"
"9","Stress affects me more intensely than it seems to affect others at work","daily_life","71","13"
"10","Understanding my triggers helps me manage better","general","48","7"
"11","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"12","I can be really creative when working on things I enjoy","daily_life","55","11"
"13","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"14","The sound of chalk on blackboard is unbearable","sensory","46","8"
"15","I express emotions differently than neurotypical people","social","55","7"
"16","I value deep, meaningful relationships","general","38","5"
"17","Small talk can be challenging for me","social","36","7"
"18","My focused interests have led to deep expertise","interests","47","8"
"19","Having a structured schedule helps me function better at work","routine","61","10"
"20","Learning about my special interests brings me joy","interests","49","8"
"21","I prefer consistent lighting and avoid flickering bulbs during events","sensory","69","10"
"22","My focused interests have led to deep expertise","interests","47","8"
"23","Bright lights in stores can be overwhelming for me","sensory","50","9"
"24","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"25","I enjoy finding patterns and connections in information","general","55","8"
"26","I have a few topics that I find endlessly interesting","interests","53","10"
"27","I'm very reliable when I understand expectations with friends","general","61","9"
"28","I can be very creative when working on things I enjoy","daily_life","53","11"
"29","Processing emotions takes time and energy for me","daily_life","48","8"
"30","Making eye contact during conversations feels uncomfortable","social","59","7"
"31","Making eye contact during conversations feels uncomfortable","social","59","7"
"32","I can talk for hours about topics that interest me with friends","social","63","12"
"33","I can be very creative when working on things I enjoy at home","daily_life","61","13"
"34","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"35","I can be very creative when working on things I enjoy","daily_life","53","11"
"36","I sometimes miss social cues that others pick up easily","social","55","10"
"37","I express emotions differently than neurotypical people","social","55","7"
"38","Large social gatherings can feel overwhelming","social","45","6"
"39","I appreciate clear instructions and expectations at home","daily_life","56","8"
"40","I express emotions differently than neurotypical people","social","55","7"
"41","Certain food textures are difficult for me to handle in meetings","sensory","64","11"
"42","Processing emotions takes time and energy for me","daily_life","48","8"
"43","I appreciate honesty and direct communication","general","45","6"
"44","I can be very creative when working on things I enjoy with family","daily_life","65","13"
"45","Small talk can be challenging for me at work","social","44","9"
"46","Learning about my special interests brings me joy","interests","49","8"
"47","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"48","Processing emotions takes time and energy for me","daily_life","48","8"
